Österreich, COVID-19: Support Measures by... en , SA.57148 , TM-10269631 , 217955y ," ""goingsoft"" softwarevertriebs... ", Kleine und mittlere Unternehmen , Tirol , Erbringung von Beratungsleist... , Zuschuss , Regionale Entwicklung (einsch... , ," 41,100 EUR ", 09/04/2020 ," Amt der Tiroler Landesregierung, Abteilung ""Wirtschaft und Wissenschaft"" en ", 24/03/2021 
Österreich, COVID-19: Third amendment of ... en , SA.60599 , TM-10327328 , 149205w , 1. Aichfelder Druck Gesellsch... , Kleine und mittlere Unternehmen , Steiermark , Drucken a. n. g. , Bürgschaft , Behebung einer beträchtlichen... ," 250,000 EUR "," 250,000 EUR ", 30/04/2020 , Austria Wirtschaftsservice GmbH (AWS) , 10/05/2021 
Österreich, COVID-19: Third amendment of ... en , SA.60599 , TM-10324853 , 14244y , 1. Wr. Neustädter Fahrschule ... , Kleine und mittlere Unternehmen , Niederösterreich , Fahr- und Flugschulen , Bürgschaft , Behebung einer beträchtlichen... ," 160,000 EUR "," 160,000 EUR ", 18/05/2020 , Austria Wirtschaftsservice GmbH (AWS) , 09/05/2021 
Österreich, Covid-19 – Prolongation of SA... en , SA.59710 , TM-10267348 , 337522g , 10hoch4 Energiesysteme GmbH en , Kleine und mittlere Unternehmen , Niederösterreich , Herstellung von sonstigen ele... , Nachrangiges Fremdkapital , Naturkatastrophen oder sonsti... , ," 500,000 EUR ", 16/02/2021 ," Amt der Niederösterreichischen Landesregierung, Abteilung WST3 ""Wirtschaft, Tourismus und Technologie"" en ", 09/03/2021 
Österreich, COVID-19: Third amendment of ... en , SA.60599 , TM-10326337 , 337522g , 10hoch4 Energiesysteme GmbH , Kleine und mittlere Unternehmen , Niederösterreich , Bauinstallation , Bürgschaft , Behebung einer beträchtlichen... ," 900,000 EUR "," 900,000 EUR ", 27/05/2020 , Austria Wirtschaftsservice GmbH (AWS) , 09/05/2021 
Österreich, COVID-19: Third amendment of ... en , SA.60599 , TM-10325804 , 337522g , 10hoch4 Energiesysteme GmbH , Kleine und mittlere Unternehmen , Niederösterreich , Bauinstallation , Bürgschaft , Behebung einer beträchtlichen... ," 500,000 EUR "," 500,000 EUR ", 27/05/2020 , Austria Wirtschaftsservice GmbH (AWS) , 09/05/2021 
Österreich, COVID-19 - Austrian liquidity... en , SA.56840 , TM-10324823 , ATU71907528 , 11teamsports AT GmbH , Kleine und mittlere Unternehmen , Niederösterreich ," Einzelhandel mit Fahrrädern, ... ", Zuschuss , Behebung einer beträchtlichen... , ," 146,210.01 EUR ", 03/12/2020 , COVID-19-Finanzierungsagentur des Bundes GmbH (COFAG) en , 09/05/2021 
Österreich, COVID-19: Third amendment of ... en , SA.60599 , TM-10334995 , 483296f , 1404 Manufacturing GmbH , Kleine und mittlere Unternehmen , Steiermark , Herstellung von Spirituosen , Bürgschaft , Behebung einer beträchtlichen... ," 115,000 EUR "," 115,000 EUR ", 23/07/2020 , Austria Wirtschaftsservice GmbH (AWS) , 10/05/2021 
Österreich, COVID-19: Support Measures by... en , SA.57148 , TM-10214555 , ATU75757245 , 147 Rat auf Draht gemeinnützi... en , nur Großunternehmen , Wien , Sonstiges Sozialwesen a. n. g. , Zuschuss ," Forschung, Entwicklung und In... ", ," 73,006 EUR ", 19/06/2020 , Wirtschaftsagentur Wien , 15/10/2020 
Österreich, COVID-19: Third amendment of ... en , SA.60599 , TM-10325772 , 288426g , 1492 GmbH , Kleine und mittlere Unternehmen , Steiermark , Erbringung sonstiger wirtscha... , Bürgschaft , Behebung einer beträchtlichen... ," 200,000 EUR "," 200,000 EUR ", 25/05/2020 , Austria Wirtschaftsservice GmbH (AWS) , 09/05/2021 
Österreich, COVID-19: Austrian scheme for... en , SA.56981 , TM-10319889 , 403843m , 1743 GmbH , Kleine und mittlere Unternehmen , Salzburg , Beherbergung , Bürgschaft , Behebung einer beträchtlichen... ," 300,000 EUR "," 300,000 EUR ", 08/06/2020 , Österreichische Hotel- und Tourismusbank (ÖHT) , 07/05/2021 
